Crisis,Start,End,Strategy,Observations,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaxDrawdown,AverageSelectedMin,AverageSelectedMax
Global financial crisis,2007-10-09,2009-03-09,Regime-adaptive entropy MVO,355,-0.4677645060085288,-0.3608948770262168,0.29446931407844185,-1.2255771986145907,-0.47419291227522364,0.0,0.14183098591549295
Global financial crisis,2007-10-09,2009-03-09,Equal-weight active universe,355,-0.49990949362215364,-0.38854162097031253,0.36044956097138603,-1.0779361748235188,-0.5036437574541344,0.0,0.14183098591549295
Euro debt and US downgrade,2011-07-01,2011-12-31,Regime-adaptive entropy MVO,127,0.019990373924479776,0.04005612294463923,0.2169062890839217,0.18467017767816493,-0.11862693592048545,0.0,0.213779527559055
Euro debt and US downgrade,2011-07-01,2011-12-31,Equal-weight active universe,127,0.027945686480735477,0.05621378264875698,0.24558810247262994,0.22889456811134343,-0.13378747363423227,0.0,0.213779527559055
COVID crash,2020-02-19,2020-04-30,Regime-adaptive entropy MVO,51,-0.06058593791441125,-0.2656857976661934,0.6398418532139561,-0.4152366656411126,-0.2686219587476997,0.0,0.27254901960784317
COVID crash,2020-02-19,2020-04-30,Equal-weight active universe,51,-0.08291743546993235,-0.3479912076216858,0.6594784456799536,-0.5276763932184172,-0.2976694280039287,0.0,0.27254901960784317
Inflation and rates bear market,2022-01-03,2022-10-14,Regime-adaptive entropy MVO,198,-0.3018390479355204,-0.3670083526159257,0.32811346604327907,-1.1185409640197952,-0.31675974718915256,0.0,0.13257575757575754
Inflation and rates bear market,2022-01-03,2022-10-14,Equal-weight active universe,198,-0.3347974434911808,-0.4047922021925088,0.33612732598325096,-1.2042823385703527,-0.3490137746381262,0.0,0.13257575757575754
