MarketPhase,Days,ShareOfSample,MeanDailyReturn,AnnualizedMeanReturn,MeanRollingReturn,MeanAverageEntropy,MeanRollingVolatility,MeanRollingDrawdown
Bullish,2371,0.3941812136325852,0.0007927299358574583,0.22102272242814047,0.08111383101382301,0.7023176544118115,0.18469365267369175,-0.044376789859885676
Neutral,1713,0.28478802992518704,0.0003275461017275039,0.08602919313904245,0.05217377649397219,0.7498919057563032,0.18957981950932035,-0.057664240035763314
Bearish,1931,0.3210307564422278,0.0003480813568192415,0.09166192753528657,0.047848971273656726,0.783102578079542,0.19035398464027767,-0.05778709427050129
