Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2018-10-17,0.708958505228935,0.7109473396771436,0.7329531877169622,0.5231252324659545,0.7344340778602175,0.5685587825006454,0.8073752097120601,0.7506341308959824,0.8085566582226086,0.7115929189630509,0.7780049302380578,0.7807481322048194,0.7652753294419413,0.6842629611340505,0.7418527453410132,0.7191126408732603,0.8842350145492839,0.5918617346057832,0.360422157192351,0.607623467320121,0.8226354870138602,0.7087941695589883,0.7878699345028859,0.6346271171283212,0.81353132495883,0.6794606500515145,0.6551083415188105,,0.7097037625972377,0.6334688752110162,0.815661922303096,0.526136351008833,0.7544454148379094
2018-10-18,0.6973129199211326,0.7109473396771436,0.7280211921703831,0.5231252324659545,0.7344340778602175,0.5685587825006454,0.7996567836869902,0.7506341308959824,0.8085566582226086,0.7078295212474363,0.7732838363828881,0.7811890595385199,0.5266933768586844,0.6757953727162729,0.754949202070609,0.7154082612557175,0.8857482487549261,0.5966640399835458,0.360422157192351,0.6959963613060206,0.82492240584066,0.7087941695589883,0.7790317859067207,0.6387579051553535,0.8046903485388036,0.6755005033842804,0.6518106856258881,,0.7148246116074181,0.6317174818865674,0.8118217412580963,0.526136351008833,0.7544454148379094
2018-10-19,0.6953158630371022,0.7177402803509402,0.7337130666889959,0.5328429192833031,0.7447954098190049,0.5685587825006454,0.8028534520424434,0.7506341308959824,0.8075974147944603,0.703635429218551,0.778192475477915,0.7919226699275687,0.5343576234917612,0.6757953727162729,0.7528858931895458,0.7210891056845264,0.879600521957812,0.5966640399835458,0.3669389929019133,0.6933868669627202,0.82492240584066,0.7087941695589883,0.7826790846344492,0.6495843160715596,0.8046903485388036,0.6755005033842804,0.6518106856258881,,0.7130231074439176,0.6403596895226314,0.8124608283485358,0.526136351008833,0.754536296129221
2018-10-22,0.6968093135388571,0.727940731287378,0.7337130666889959,0.5312807572119869,0.7447954098190049,0.5705469481703438,0.8018295188237837,0.7519341661776423,0.8075974147944603,0.7052715791343699,0.7800610337031523,0.7939275662001272,0.535270857085756,0.6785561616706373,0.7528858931895458,0.7210891056845264,0.8854600283001671,0.6018284317167091,0.3669389929019133,0.6927034282684418,0.8187770210867226,0.7087941695589883,0.7878699345028859,0.6534049839638425,0.5217314437875509,0.679135582993923,0.6488750173413286,,0.7130231074439176,0.6403596895226314,0.811957881430553,0.5267623109886014,0.754536296129221
2018-10-23,0.6935752146784814,0.7413587924701585,0.715242627402683,0.5295719974566151,0.7558948096645705,0.5705469481703438,0.8135224140036961,0.7533997586712028,0.8075974147944603,0.703635429218551,0.7686185230958614,0.7947772396718239,0.5397758771487148,0.6830977017088004,0.750592776462228,0.7263395248383455,0.8772955671171502,0.6018284317167091,0.360422157192351,0.6885084470136283,0.8183583120015131,0.6986700567831826,0.7849452621282994,0.6552456518240527,0.5217314437875509,0.6830351453146047,0.6488750173413286,,0.7148246116074181,0.6303098920039233,0.8189441220225389,0.5267623109886014,0.754536296129221
2018-10-24,0.6949626333879122,0.747504177224096,0.7190020414278001,0.5295719974566151,0.7583319077777922,0.5771879582951183,0.817372709320125,0.7546202745844415,0.8145836553864462,0.700047699776205,0.7686185230958614,0.7947772396718239,0.5440716033589292,0.6856294456235906,0.7489018869065959,0.7263395248383455,0.8716916023873029,0.6114930208641368,0.360422157192351,0.6885084470136283,0.8183583120015131,0.7021430725474663,0.7906371366469124,0.6552456518240527,0.5200226840321791,0.6863953721012447,0.6611245045119283,,0.7172095249416662,0.6303098920039233,0.8163451685483584,0.5267623109886014,0.7545362961292211
2018-10-25,0.7085318738714851,0.7588472852263876,0.7232603495612308,0.5398585673205728,0.7679628450000523,0.5834518247492697,0.8232765672663188,0.7631977548115129,0.8253172657754946,0.703635429218551,0.7767829842788782,0.7554399481465195,0.5557561013293321,0.6984190404810948,0.7494580802458964,0.7310999492845637,0.8716916023873029,0.6196574820471534,0.4186547002057213,0.6830285559225961,0.8302861709001444,0.7108742630906444,0.7377404080235496,0.6671714922208807,0.5267215244537907,0.6261589892741807,0.6611245045119283,,0.7159927434374,0.6321857738202539,0.8179782020352547,0.526136351008833,0.7582406757467638
2018-10-26,0.7125538690727279,0.7577623438224674,0.6463326454286423,0.5398585673205728,0.7727194789159552,0.5851683761399001,0.8296922669479745,0.7716092412589397,0.8224296929622228,0.7081962515089564,0.7650331481735105,0.7627438928719038,0.5557561013293321,0.707480488459101,0.7512762151565067,0.7351257615832995,0.8702429994805104,0.625347759994744,0.42462909223339534,0.6762431818248743,0.8337591866644279,0.6388273845301752,0.7459742426158152,0.6777322829445129,0.5283724539123255,0.6323030418995143,0.6698610580169465,,0.7323168965769377,0.6443349655103318,0.8273363922363405,0.5335653743188374,0.775315306191425
2018-10-29,0.7145740932650065,0.7711025087087894,0.5913141187835415,0.5475769933456426,0.7727194789159552,0.5851683761399001,0.8317786234025535,0.7803554224566268,0.8213473103164309,0.7123939598988125,0.768845434377082,0.7657841725641171,0.5557561013293321,0.7089308759877163,0.7459089653240488,0.7395923070723963,0.8772955671171502,0.625347759994744,0.4307722577797893,0.6762431818248743,0.8302861709001444,0.6388273845301752,0.7523484742044024,0.6856231665011602,0.5283724539123255,0.6438752254990567,0.6733114207888106,,0.7335030897401827,0.6520123194958461,0.8320470669882537,0.5328630761784368,0.7777324455093625
2018-10-30,0.7103785540224298,0.7789933922654365,0.6040303520276963,0.5493188040954889,0.7733003736755699,0.5851683761399001,0.8317786234025535,0.7785502921420878,0.8320023920404612,0.7123939598988125,0.7725142755091264,0.7709034012247767,0.575973975028541,0.7021379353139195,0.747518643357088,0.7432039059989214,0.8716916023873029,0.6062020155731315,0.4366594072638963,0.6848590130910718,0.8323260254301457,0.6525420433264125,0.7655279081997102,0.6772116800537336,0.5267215244537907,0.6502533392977795,0.6698610580169465,,0.7354277331213268,0.6620621170145543,0.8362434418354571,0.5335653743188374,0.775315306191425
2018-10-31,0.6988063704228874,0.8013516522095738,0.6040303520276963,0.5542180034704172,0.7715165219438539,0.5944496708664039,0.8301170428832864,0.7765955961866382,0.8367130667923744,0.6691015381576788,0.7725142755091264,0.7710624745027236,0.5856352785456481,0.6745153922909625,0.7505483973986928,0.7465908662390707,0.8095415001196927,0.6054585522875809,0.44230120670928424,0.6900794323429872,0.833668080025594,0.6478209494712429,0.6620529587251575,0.6693207964970863,0.5249218834071073,0.6502533392977795,0.6698610580169465,,0.727599231793989,0.6620621170145543,0.8388400076620505,0.5405047559565535,0.7846734963925107
2018-11-01,0.7061626068175798,0.7881571806604324,0.6166912695158103,0.5523830943779265,0.7786311168683361,0.5959509779703289,0.8327181618351798,0.7799574453073417,0.8382855882142559,0.6691015381576788,0.7823997610974595,0.7825598169621061,0.5856352785456481,0.6784703069707788,0.7524703164055394,0.7543092922641405,0.8105890131924399,0.6054585522875809,0.4477071910417765,0.6910053000983541,0.8360737335815852,0.6557976936470008,0.6620529587251575,0.6676152490565569,0.5267215244537907,0.6502533392977795,0.6703019853506472,,0.7300604832888693,0.6743116041851541,0.841145211370988,0.5482816114179612,0.7846734963925107
2018-11-02,0.6939073833351781,0.7125629533693898,0.6279991661997145,0.5523830943779265,0.7786311168683361,0.5881416706539475,0.8327181618351798,0.7733881358026174,0.8382855882142559,0.6880351856405168,0.7762520343003453,0.7785175425862342,0.5856352785456481,0.6845334554213967,0.7524703164055394,0.7509223320239912,0.8086391676810791,0.6062020155731315,0.4477071910417765,0.6983615364930466,0.8365042635257719,0.6561062886126726,0.6620529587251575,0.6708954510760625,0.5200226840321791,0.6502533392977795,0.6703019853506472,,0.7300604832888693,0.68064953977029,0.8346619176969851,0.5482816114179612,0.789065747537184
2018-11-05,0.6059894572336401,0.7125629533693898,0.6279991661997145,0.5545632339376284,0.7786311168683361,0.5881416706539475,0.8327181618351798,0.7711012169758177,0.8407389455454796,0.6934399649410729,0.7780376152598706,0.7782057624293458,0.5908485588761462,0.6881807541491253,0.7505483973986928,0.7510132133153027,0.8076052004052453,0.6067961091858378,0.4477071910417765,0.6956786132774639,0.8399737822842647,0.6561062886126726,0.6571209631785783,0.6804224845485285,0.5181660758920049,0.6502533392977795,0.666789051685066,,0.7281358399077252,0.6826207074033931,0.8346619176969851,0.5410002161634286,0.7930662460869172
