Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2014-10-14,0.013418351560156753,0.010217649703430944,0.02026626795868043,0.019871319914096273,0.013591217667082722,0.008288321844571315,0.010336504353421082,0.01003156111766963,0.008534144490208586,0.00838581424152155,0.012703885725458075,0.012697624010132682,0.008588246785682067,0.014742963923596466,0.008636097283383508,0.0095006565250732,0.007813503200052885,0.008917009198474778,0.01868000006365205,0.008794266013449912,0.010810979498689094,0.010314978373699674,0.015310246922638972,0.009249953155883502,0.006606036521203774,0.007943378189142083,0.026830943574579488,0.022109723981689873,0.010697607687409506,0.01041327938154155,0.008004291498180745,0.006592415918765814,0.008675189851824285
2014-10-15,0.013441843110255192,0.010216724025136945,0.020273504762499214,0.02021447495028394,0.013433714079690013,0.008248001056505992,0.010638564134624082,0.010040940085313324,0.008624335135302664,0.00839652276443888,0.012711507161042988,0.012701080852269668,0.008584825960525212,0.014836858238028586,0.008643084597726539,0.009500691388856806,0.007165449597257259,0.008896974841328937,0.018688078716130346,0.00879135821637295,0.010788505297341012,0.010243462507481418,0.0154413150847178,0.009249634553779282,0.006607904170040497,0.007900919346475264,0.026768294861897485,0.022108930736128945,0.010765534378151692,0.010349762730857723,0.008287618097767391,0.006582171271723889,0.008642221598563453
2014-10-16,0.013505624068411548,0.01019230622903073,0.02016910148924892,0.020216595708862032,0.013979034595438538,0.008191146335773211,0.011091449017588021,0.010034314953946017,0.00854896574188075,0.008357121340481045,0.012328549802843826,0.012522093521501616,0.008634645622927895,0.015048500802385161,0.008703606030812678,0.010218704233594837,0.00717236690536173,0.008875209510339276,0.018682011055129927,0.008900973815703778,0.011080560678890112,0.010209654115834247,0.015503884362278892,0.009265403901291396,0.006585416593078913,0.007828330716140884,0.02668796714133087,0.022130424393663833,0.01068328558973561,0.010139742890415143,0.008461941599436407,0.007306446785079815,0.008563415014447658
2014-10-17,0.01355067377363483,0.010176177076859961,0.020185083466348317,0.02041315839283777,0.014095869456929196,0.008180577334274493,0.011091787033078093,0.010025778640708137,0.008567384504876487,0.00821237043780288,0.011922969619036106,0.012109098662017587,0.008192209403429948,0.015105727785363513,0.00879900109868578,0.010245153729202545,0.007311129211410789,0.008963827357756556,0.0186549201937707,0.008940757992719768,0.011274544474518538,0.010222239848878788,0.015499795658099553,0.009374674505907636,0.006631465213359,0.007848931242458133,0.026720314016505323,0.02244359854238383,0.010862763912384868,0.010199144850356487,0.008473270275600379,0.007466560301036865,0.008560556945247275
2014-10-20,0.013568861182866276,0.010470422085067661,0.020117018132721733,0.02043945307221042,0.014109546411265848,0.008306451112783,0.011080495831349874,0.010139403698069982,0.008579874778872077,0.008486494121266216,0.012072585699268718,0.01231157453930954,0.008196986257995639,0.015166042964651403,0.008926723653149067,0.010396479888389864,0.007337842765972278,0.008993742106269355,0.01877075091614926,0.008976912236282848,0.011249559775244,0.010375977733619578,0.01548198047848544,0.009201363887631014,0.00671733190165899,0.007938780389068872,0.02658469044563317,0.022444414099274716,0.011167239404824046,0.010272427783840228,0.008529529290179697,0.007475198280011674,0.008570707896715607
2014-10-21,0.01367592944458043,0.01047426699778256,0.020129112490097145,0.02035060419370038,0.014069184794089551,0.008296834997751357,0.011104077397437679,0.0102042140001713,0.008581195193817597,0.008522963972598248,0.012146291800518632,0.012375252114557405,0.010344359078080059,0.015164176895236447,0.008936598079233193,0.010343093246399945,0.007380247019842092,0.008932209602722877,0.01863569470518575,0.00906930360838841,0.011218386542815262,0.01041007663745073,0.015482254581578743,0.009197503390158668,0.00677309538312606,0.007935524767197454,0.02588574214021078,0.022529951210417103,0.011138068249975737,0.010297585596267462,0.008573759441949338,0.0075825073454986475,0.008580599215510522
2014-10-22,0.0137826818506041,0.010603092151980664,0.02026719529627981,0.02087024943283121,0.01418455004880565,0.008365825570666416,0.011156251186173893,0.010450265520677682,0.009053849690816696,0.008641965410054077,0.012114972868070525,0.012342548043157549,0.010774470170373888,0.01540818940339025,0.008996367615957535,0.010532923005552523,0.00916113325561491,0.00916213036230809,0.018551548424709206,0.009077301630728197,0.011356505233182468,0.010494323438121324,0.015915895716856556,0.009270297765239346,0.00677862561401247,0.0072372871899597175,0.025563791779462886,0.02250330465192161,0.01135499119271889,0.010547769199152299,0.008851735039552042,0.007635064843766691,0.008781845959273412
2014-10-23,0.01180247348127348,0.010533934889286573,0.019976431026735957,0.02093423995750146,0.014225633094590922,0.008412083912132785,0.011203075480196745,0.010473915370117774,0.009086380088253845,0.008687189032594907,0.012155211888967902,0.012354975101426849,0.010779541584857057,0.015445944461109855,0.009023954850869802,0.01055972946018996,0.009161940815666212,0.009054798091539275,0.018537704672573842,0.009077630771147382,0.01137370071600139,0.010547121948151376,0.01602980027276747,0.00925379819671145,0.006730865446937701,0.007161718600605943,0.025621212883940918,0.022512594607909248,0.011347410359200312,0.010594458693274935,0.008852285982605722,0.0076284777768826735,0.008784804730714118
2014-10-24,0.011877212978478267,0.010426668340215411,0.01791407442713853,0.020491011852130585,0.014100572599817594,0.008432504478757803,0.011211481063537747,0.010457784968619776,0.009252680359446045,0.008720456800509176,0.012197683946973903,0.012331542723708977,0.010782671402132215,0.01537267621525283,0.009104028749322831,0.0105675176229566,0.009152052616136773,0.00906381514747167,0.017967381760984752,0.008953727531591788,0.011507180726816058,0.010614553952922426,0.01596708393288931,0.009304940539286493,0.006814841673999659,0.00748893319199687,0.025415142217714657,0.022564441019200427,0.011306941878496794,0.009687376360674632,0.008867587679529285,0.0076245274519883425,0.008830154237660568
2014-10-27,0.01141479073716946,0.010432585787874881,0.019291560464460917,0.020344559296694452,0.012922396770095606,0.008438426215214704,0.011191576564775266,0.010486775502801114,0.009163898891039128,0.008727980745459933,0.012218902648984164,0.012358042573103863,0.010638219585685027,0.015416233855670175,0.009011073724785986,0.010607476933256615,0.009159046530974843,0.009323402470833,0.01777006052222773,0.008801833157242145,0.011573938459152767,0.01062508419745963,0.01599049815197925,0.008652087242727284,0.00692057227377347,0.007352134759527324,0.025404703480483466,0.02256659841619325,0.011336735785305042,0.009636389014972,0.008922804749001362,0.007512715688050086,0.008810348869555475
2014-10-28,0.011409593385668063,0.010388370947218648,0.01927873439002165,0.02035169313620579,0.01283939591865051,0.00842422339724054,0.011089942232893711,0.010475065807271306,0.00918378414930179,0.008737066301660585,0.012087192581720713,0.012152061743637626,0.010588496750725764,0.015413338639112331,0.009040117381708955,0.010568348992386354,0.009122271713875937,0.009281182318241911,0.01753787442506086,0.008798397694940584,0.011265780495081925,0.010600951927165734,0.015989515629363776,0.008623319787188135,0.006941889920734354,0.007328144184578908,0.025684727565268843,0.022559818651272063,0.011313914806183926,0.009623214878971971,0.008875870959438334,0.007516888184789112,0.008833392721507556
2014-10-29,0.01146242599046643,0.010547202936611525,0.019324466004557582,0.02021315042508687,0.012865554113599478,0.00843899115136168,0.01116698222950034,0.0105310627412193,0.009332330194111099,0.00881843534395475,0.012156744481142288,0.012234348722968602,0.010616953551982833,0.01545666720406837,0.009056805420691965,0.010665534699600252,0.00912134053167453,0.009441446874949543,0.01739284716090986,0.008803753812673875,0.011302279799020742,0.010644242459916438,0.016091685711114766,0.008526247305354815,0.0069592336179925595,0.007316615308031731,0.027022572363506307,0.02245474442883794,0.011313513900934092,0.00971494348281044,0.008905922160008024,0.0075212069602211004,0.008894503542911138
2014-10-30,0.011466872338540494,0.01057372356811942,0.01929716609290387,0.020217772145148742,0.012892851247489802,0.00844634013228616,0.01116564882596138,0.0105224723976199,0.009324597324591885,0.008841598939378447,0.012132803905719889,0.012221346715148997,0.010545877080328633,0.015427080357986485,0.00904951469003154,0.010670161858637488,0.009162504062874393,0.009461543113942176,0.018188755540559248,0.008770466004988726,0.0111977111482682,0.010597593249133775,0.016097307502128597,0.008611923501505659,0.006953850039493982,0.0073130488817813874,0.027086014558281746,0.022488806734849192,0.011311212112909646,0.009641126145837195,0.008927885213257486,0.00752149037392857,0.008866182342708872
