FromPhase,Bullish,Neutral,Bearish
Bullish,0.9624630957401941,0.036271615352172076,0.0012652889076339097
Neutral,0.047285464098073555,0.8978400467016929,0.05487448920023351
Bearish,0.003626943005181347,0.0461139896373057,0.950259067357513
