Date,Top 10 tickers,Top 10 raw tickers,Top 10 count
2024-09-30,"AAPL, MSFT, NVDA, GOOGL, GOOG, AMZN, META, BRK-B, LLY, TSLA","AAPL, MSFT, NVDA, GOOGL, GOOG, AMZN, META, BRK-B, LLY, TSLA",10
2024-10-31,"AAPL, NVDA, MSFT, GOOGL, GOOG, AMZN, META, BRK-B, TSLA, AVGO","AAPL, NVDA, MSFT, GOOGL, GOOG, AMZN, META, BRK-B, TSLA, AVGO",10
2024-11-30,"AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, TSLA, BRK-B, AVGO","AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, TSLA, BRK-B, AVGO",10
2024-12-31,"AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, TSLA, AVGO, BRK-B","AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, TSLA, AVGO, BRK-B",10
2025-01-31,"AAPL, MSFT, NVDA, GOOGL, GOOG, AMZN, META, TSLA, AVGO, BRK-B","AAPL, MSFT, NVDA, GOOGL, GOOG, AMZN, META, TSLA, AVGO, BRK-B",10
2025-02-28,"AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, BRK-B, TSLA, AVGO","AAPL, NVDA, MSFT, AMZN, GOOG, GOOGL, META, BRK-B, TSLA, AVGO",10
2025-03-31,"AAPL, MSFT, NVDA, AMZN, GOOGL, GOOG, META, BRK-B, TSLA, AVGO","AAPL, MSFT, NVDA, AMZN, GOOGL, GOOG, META, BRK-B, TSLA, AVGO",10
2025-04-30,"AAPL, MSFT, NVDA, AMZN, GOOG, GOOGL, META, BRK-B, AVGO, TSLA","AAPL, MSFT, NVDA, AMZN, GOOG, GOOGL, META, BRK-B, AVGO, TSLA",10
2025-05-31,"MSFT, NVDA, AAPL, AMZN, GOOG, GOOGL, META, AVGO, TSLA, BRK-B","MSFT, NVDA, AAPL, AMZN, GOOG, GOOGL, META, AVGO, TSLA, BRK-B",10
2025-06-30,"NVDA, MSFT, AAPL, AMZN, GOOG, GOOGL, META, AVGO, BRK-B, TSLA","NVDA, MSFT, AAPL, AMZN, GOOG, GOOGL, META, AVGO, BRK-B, TSLA",10
2025-07-31,"NVDA, MSFT, AAPL, AMZN, GOOG, GOOGL, META, AVGO, BRK-B, TSLA","NVDA, MSFT, AAPL, AMZN, GOOG, GOOGL, META, AVGO, BRK-B, TSLA",10
2025-08-31,"NVDA, MSFT, AAPL, GOOGL, GOOG, AMZN, META, AVGO, BRK-B, TSLA","NVDA, MSFT, AAPL, GOOGL, GOOG, AMZN, META, AVGO, BRK-B, TSLA",10
2025-09-30,"NVDA, MSFT, AAPL, GOOG, GOOGL, AMZN, META, AVGO, TSLA, BRK-B","NVDA, MSFT, AAPL, GOOG, GOOGL, AMZN, META, AVGO, TSLA, BRK-B",10
2025-10-31,"NVDA, AAPL, MSFT, GOOG, GOOGL, AMZN, AVGO, META, TSLA, BRK-B","NVDA, AAPL, MSFT, GOOG, GOOGL, AMZN, AVGO, META, TSLA, BRK-B",10
2025-11-30,"NVDA, AAPL, GOOGL, GOOG, MSFT, AMZN, AVGO, META, TSLA, BRK-B","NVDA, AAPL, GOOGL, GOOG, MSFT, AMZN, AVGO, META, TSLA, BRK-B",10
2025-12-31,"NVDA, AAPL, GOOGL, GOOG, MSFT, AMZN, META, AVGO, TSLA, BRK-B","NVDA, AAPL, GOOGL, GOOG, MSFT, AMZN, META, AVGO, TSLA, BRK-B",10
